Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10µF 50V,
C2,0805,1,1µF,
D1,SDT5A50SAF-13,1,SDT5A50SAF,
F1,1206,1,T3A,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
HS1,Heatsink-573300D00000G,1,573300D00000G,
J1,ScrewTerminal_DB128L-5.08-2P-BK-S,1,Conn_01x02,
J2,Pluggable_DB2ERC-5.08-3P-BK,1,DC IN 19V,
L1,ETQ-P4M_KVC,1,ETQP4M470KVC,
R1,1206,1,50mΩ,
R2,0805,1,10kΩ,
R3,0805,1,100kΩ,
RV1,Potentiometer_Bourns_PTV09A-2_Single_Horizontal,1,10kΩ,
U1,SOIC127P600X155-9N,1,AL8843SP-13,
U2,SOT-23,1,LM4040DYM3-2.5,
