Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Rect_L18.0mm_W8.0mm_P15.00mm_FKS3_FKP3,1,220nF X2,
"C2, C4",0603,2,1µF,
C3,CP_Elec_6.3x7.7,1,220µF 16V,
D1,D_SOD-123,1,1N5819WS,
D2,SOT-223,1,"Triac_Z0103NN0,135",
D3,D_SOD-123,1,BZT52C9V1-7-F,
D4,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,1,LED,
F1,Fuse_Littelfuse_372_D8.50mm,1,T315mA,
J1,ScrewTerminal_DB128L-5.08-2P-BK-S,1,Heater,
J2,Pluggable_DB2ERC-5.08-4P-BK,1,230VAC IN,
"R1, R2, R3",1206,3,1MΩ 0.25W,
R4,1206,1,470Ω 0.25W,
R5,0603,1,1MΩ,
R6,0603,1,27kΩ,
R7,0603,1,1kΩ,
R8,0603,1,47kΩ,
R9,0603,1,10kΩ,
RV1,Potentiometer_Bourns_PTV09A-2_Single_Horizontal,1,20kΩ,
TH1,NTCLE203E3103FB0A,1,NTCLE203E3103GB0,
U1,SOT-23-5,1,TS321ILT,
