Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BS7,1,CR2032,
"C1, C11, C2, C3, C4, C7",0603,6,100nF,
C10,0603,1,10µF 35V,
C12,0603,1,75pF,
"C13, C14, C15, C16",0603,4,20pF,
"C5, C6",CP_Elec_6.3x7.7,2,100µF 35V,
"C8, C9",0603,2,22µF 10V,
D1,D_SOD-123,1,12V,
D2,0805,1,Green,
D3,0805,1,Red,
J1,Pluggable_DB2ERC-5.08-2P-BK,1,DC Input 19V,
J2,Pluggable_DB2ERC-5.08-3P-BK,1,Output,
J3,IDC-Header_2x04_P2.54mm_Vertical,1,SWDIO+Serial,
L1,L_Taiyo-Yuden_NR-20xx_HandSoldering,1,10µH 1A,
"Q1, Q2",SON8_SI7135DP-T1-GE3_VIS,2,SI7145,
Q3,SOT-23,1,BSS138,
R1,1210,1,5.6kΩ 0.5W,
R10,0603,1,49.9Ω,
"R11, R3",0603,2,100kΩ,
R12,0603,1,22kΩ,
R13,0603,1,1MΩ,
"R2, R4, R5, R6, R7, R8, R9",0603,7,10kΩ,
SW1,SKTHACE010,1,RESET,
SW2,PEC11R-4020F-S0012,1,PEC11R-4020F-S0012,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103CBT,
U2,SOT-23-6_Handsoldering,1,TPS54302,
U3,Display_OLED_0.96in_I2C,1,Display_OLED_0.96_I2C,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,XC32M4-8.000 12pF,
Y2,Crystal_SMD_MicroCrystal_CC8V-T1A-2Pin_2.0x1.2mm_HandSoldering,1,CM8V-T1A-32.768KHZ-12.5PF,
