Designator,Mid X,Mid Y,Rotation,Layer
BT1,142.4375,-73.6,180.0,top
C1,121.5,-65.75,90.0,top
C10,93.333333,-54.3,90.0,top
C11,91.0,-54.3,90.0,top
C12,81.8,-54.2625,270.0,top
C13,126.75,-61.904,0.0,top
C14,126.75,-55.168,180.0,top
C15,126.75,-65.9,0.0,top
C16,126.75,-63.902,180.0,top
C2,113.5,-52.0,0.0,top
C3,110.5,-61.6375,90.0,top
C4,123.75,-56.1125,90.0,top
C5,117.485932,-44.565,90.0,top
C6,109.235066,-44.565,90.0,top
C7,87.6,-57.0625,180.0,top
C8,95.666666,-54.3,270.0,top
C9,98.0,-54.3,270.0,top
D1,102.2,-39.6,180.0,top
D2,79.6,-71.4,180.0,top
D3,79.6,-75.275,180.0,top
J1,88.65,-43.5,0.0,top
J2,143.69,-43.5,0.0,top
J3,143.69,-55.5525,270.0,top
L1,92.525,-57.4625,0.0,top
Q1,100.8,-44.565,180.0,top
Q2,125.921,-44.565,0.0,top
Q3,126.75,-52.2,180.0,top
R1,79.6,-65.6,270.0,top
R10,82.7,-57.0625,180.0,top
R11,84.2,-54.2625,90.0,top
R12,79.5,-54.2625,270.0,top
R13,129.5,-58.6625,270.0,top
R2,123.9125,-49.2,0.0,top
R3,97.6875,-39.6,180.0,top
R4,127.9,-49.2,0.0,top
R5,123.75,-52.2,270.0,top
R6,113.75,-65.9,0.0,top
R7,117.6,-65.6875,90.0,top
R8,119.2,-65.6875,90.0,top
R9,155.5,-53.0,180.0,top
SW1,155.5,-57.0,90.0,top
SW2,119.0,-76.75,180.0,top
U1,116.85,-58.3625,90.0,top
U2,87.6,-54.2625,0.0,top
U3,96.0,-72.75,0.0,top
Y1,126.75,-58.536,270.0,top
Y2,123.75,-64.75,90.0,top
